Month,High Temp,Low Temp,Mean Temp,Precipitation,Humidity,Dew Point,Wind,Pressure,Visibility
All Year,85.0,28.0,56.0,4.17,62.0,42.0,9.0,30.04,9.0
January,40.0,28.0,34.0,3.61,60.0,21.0,13.0,30.07,9.0
February,42.0,29.0,36.0,3.37,57.0,21.0,13.0,30.06,9.0
March,50.0,35.0,43.0,4.25,57.0,27.0,12.0,30.06,9.0
April,62.0,45.0,53.0,4.06,56.0,36.0,11.0,30.0,9.0
May,71.0,54.0,63.0,4.02,62.0,48.0,8.0,30.0,9.0
June,80.0,64.0,72.0,4.5,65.0,59.0,7.0,29.96,9.0
July,85.0,70.0,77.0,4.83,65.0,64.0,6.0,29.96,9.0
August,84.0,69.0,76.0,4.62,66.0,63.0,6.0,30.0,9.0
September,76.0,62.0,69.0,4.53,67.0,57.0,7.0,30.06,9.0
October,65.0,51.0,58.0,4.48,66.0,46.0,8.0,30.06,9.0
November,54.0,41.0,48.0,3.56,62.0,35.0,10.0,30.11,9.0
December,45.0,33.0,39.0,4.27,62.0,27.0,11.0,30.09,9.0
